currentStock,averageDailyDemand,leadTimeDays,demandVariance,supplierRiskScore,safetyStock,reorderPoint,incomingStockDays,pendingOrderQty,isCriticalItem,riskScore,riskTier
261.35,111.63,31.33,87.34,79.46,353.47,2101.83,0.0,0.0,0,46.16,medium
2325.77,118.31,12.54,79.48,42.76,1181.83,1923.89,0.0,0.0,0,14.87,low
5539.17,118.64,10.27,9.96,24.81,872.49,1481.8,6.2,1006.01,0,1.91,low
883.04,62.47,33.89,38.02,29.38,441.84,1500.52,0.0,0.0,1,32.76,medium
485.5,35.18,31.37,42.75,47.36,228.26,780.16,6.1,318.22,0,25.13,low
192.73,79.16,49.09,76.49,58.73,344.56,2287.64,3.9,592.61,1,60.4,high
342.77,12.71,6.77,3.49,10.83,66.54,109.52,4.0,196.62,0,1.54,low
415.27,48.12,36.73,92.11,78.44,427.18,1310.99,0.0,0.0,0,39.39,medium
483.05,159.52,26.66,104.23,79.83,809.72,2936.0,0.0,0.0,1,57.31,medium
2986.34,131.35,14.0,1.04,6.4,435.92,1355.52,0.0,0.0,0,2.73,low
424.62,15.72,21.07,74.78,34.76,156.88,322.47,14.2,218.76,0,16.18,low
89.04,20.97,37.91,86.0,61.63,147.68,545.18,0.0,0.0,1,60.63,high
313.85,67.93,27.01,87.14,61.68,347.55,1264.85,0.0,0.0,1,49.25,medium
551.84,163.87,32.89,96.59,70.56,891.25,3586.08,0.0,0.0,1,55.82,medium
1819.63,196.15,16.51,43.1,47.04,709.29,2328.6,0.0,0.0,0,14.42,low
561.29,111.11,27.58,110.08,63.74,588.91,2121.14,0.0,0.0,1,47.76,medium
3403.28,106.31,11.5,8.48,4.74,1003.58,1615.01,0.0,0.0,0,3.06,low
124.41,100.01,42.03,147.51,85.46,859.53,2961.39,0.0,0.0,1,79.05,high
761.61,185.15,35.88,81.53,79.74,898.13,4220.17,5.6,2276.13,0,34.84,medium
72.96,51.92,58.86,149.3,79.69,487.1,2015.03,0.0,0.0,1,80.57,critical
54.65,179.91,56.14,117.14,84.26,888.23,5937.78,0.0,0.0,1,79.52,high
1758.31,44.28,15.76,7.79,22.76,348.64,697.54,0.0,0.0,0,6.94,low
2589.56,121.51,10.72,71.24,24.25,1108.09,1759.57,3.5,2057.39,1,16.51,low
213.84,81.54,58.11,118.55,92.44,750.44,3119.41,0.0,0.0,0,67.63,high
2895.94,127.35,30.84,55.74,54.53,1011.14,2974.88,0.0,0.0,1,26.39,low
98.99,158.14,53.2,110.89,88.92,494.46,4700.87,0.0,0.0,0,66.19,high
275.09,14.96,10.73,14.65,15.14,54.13,134.38,0.0,0.0,0,15.0,low
156.41,159.83,58.6,114.57,97.95,1428.41,6111.48,0.0,0.0,1,80.64,critical
422.18,91.52,36.15,62.47,63.08,385.47,2039.48,0.0,0.0,0,34.85,medium
4.53,32.62,53.7,124.5,93.82,115.04,990.76,0.0,0.0,1,85.23,critical
3772.16,110.19,11.42,10.44,7.08,831.06,1459.98,0.0,0.0,0,3.51,low
1091.32,105.88,32.04,45.89,35.44,734.27,2430.57,10.4,1336.73,0,20.29,low
747.68,75.44,11.65,54.7,38.07,530.18,969.58,0.0,0.0,0,18.94,low
2993.56,163.55,32.7,52.83,46.69,1061.68,3735.77,0.0,0.0,0,17.41,low
52.1,40.88,44.83,139.59,85.9,390.23,1306.64,0.0,0.0,1,79.83,high
284.68,25.69,29.81,48.39,32.43,209.59,592.48,0.0,0.0,1,39.22,medium
405.47,77.04,44.94,119.15,78.0,392.96,2123.87,0.0,0.0,0,41.91,medium
3174.24,153.34,15.31,0.37,15.24,1007.04,2180.94,0.0,0.0,0,3.9,low
1893.81,133.08,15.8,60.16,48.74,1141.17,2192.28,0.0,0.0,0,15.83,low
147.27,45.07,39.43,89.43,54.72,231.35,1119.81,0.0,0.0,1,59.63,medium
420.42,193.19,25.47,107.12,63.34,774.57,3234.49,2.8,3444.37,0,41.24,medium
3707.44,161.93,19.2,6.75,22.16,766.6,2321.19,8.2,2782.72,0,1.47,low
25.19,109.15,44.89,123.99,93.47,1037.76,3487.86,0.0,0.0,0,74.39,high
136.06,9.09,18.12,8.77,11.52,32.04,114.44,0.0,0.0,0,15.37,low
128.41,191.86,47.77,111.17,94.06,849.87,5432.52,18.9,2256.45,1,73.22,high
5449.18,107.3,17.1,4.71,0.95,938.72,1856.25,0.0,0.0,0,2.92,low
1385.0,105.58,10.44,43.16,35.1,534.08,1085.25,0.0,0.0,0,10.51,low
2483.26,115.31,17.94,57.42,49.31,959.08,1993.45,3.1,1274.24,0,9.84,low
828.65,42.38,19.88,17.79,2.76,272.81,694.17,0.0,0.0,0,8.02,low
5112.57,172.27,5.86,6.92,0.49,914.17,1418.49,0.0,0.0,0,1.32,low
271.11,29.5,19.32,72.36,33.18,139.83,424.84,0.0,0.0,0,25.07,low
65.82,65.85,58.9,119.92,77.87,547.37,2486.64,0.0,0.0,1,81.35,critical
701.11,50.26,25.42,52.57,45.78,458.73,1097.47,0.0,0.0,1,37.38,medium
29.13,34.88,51.51,126.51,91.25,215.67,1113.88,0.0,0.0,1,81.57,critical
4284.45,199.28,21.41,55.96,33.81,1649.47,3782.42,17.9,1879.09,0,8.61,low
125.21,120.5,50.14,113.88,79.69,836.61,3857.45,0.0,0.0,0,68.81,high
1093.17,93.13,25.42,56.86,41.54,821.8,2005.61,0.0,0.0,0,23.89,low
4.79,36.68,47.01,130.13,95.05,169.26,1031.57,0.0,0.0,1,84.8,critical
318.61,31.2,15.19,66.25,34.62,225.77,462.8,0.0,0.0,0,23.79,low
1995.84,192.06,25.18,71.58,47.56,1148.76,3566.33,0.0,0.0,1,31.46,medium
6112.17,168.22,18.11,22.06,7.4,1009.3,2532.63,0.0,0.0,0,4.88,low
31.47,187.76,46.91,114.26,75.03,970.26,5373.64,0.0,0.0,1,77.55,high
679.93,173.76,40.13,76.44,72.78,592.68,4079.53,25.0,1756.91,1,42.42,medium
688.13,26.72,8.31,6.81,18.44,167.78,278.81,0.0,0.0,0,6.38,low
389.52,11.67,14.55,26.04,20.07,106.08,190.92,7.0,105.15,0,12.97,low
144.16,158.57,40.38,111.93,77.91,1288.44,4490.19,0.0,0.0,1,75.49,high
415.81,23.96,32.71,60.67,41.08,190.78,582.74,0.0,0.0,0,26.45,low
71.01,53.91,44.63,118.61,99.1,293.56,1496.64,0.0,0.0,1,78.22,high
572.11,107.17,25.47,87.35,79.21,713.96,2078.71,14.3,900.03,0,38.93,medium
1234.13,74.67,14.22,44.21,49.93,563.6,1094.45,0.0,0.0,0,14.99,low
86.99,18.56,31.08,73.21,78.18,85.44,373.82,0.0,0.0,0,39.34,medium
