etaDeviationHours,weatherLevel,routeRiskIndex,carrierReliability,trackingGapHours,shipmentValueUSD,daysInTransit,supplierRiskScore,isInternational,carrierDelayRate,riskScore,riskTier
56.83,low,71.23,38.56,38.56,346290.33,20.4,82.16,1,28.32,53.79,medium
35.12,low,30.2,77.41,5.84,83877.64,13.7,44.03,0,10.31,21.63,low
-0.66,low,17.69,97.18,6.06,43066.79,7.3,2.36,0,4.66,5.91,low
18.99,high,51.41,74.81,20.84,91585.65,6.1,34.17,0,18.22,33.72,medium
19.87,low,38.73,76.45,9.53,49404.78,10.7,47.14,0,10.91,19.29,low
42.53,high,51.98,25.73,36.15,318581.72,26.0,71.86,1,44.44,62.45,high
0.68,high,7.79,83.5,1.45,27375.14,7.6,13.09,0,6.07,18.33,low
66.94,high,75.19,44.46,31.35,210422.6,34.8,51.22,0,34.93,59.99,medium
67.03,high,54.06,33.29,23.05,384272.98,20.2,78.99,1,47.38,66.3,high
-0.7,low,10.93,98.0,5.26,13980.95,4.8,3.7,0,0.03,3.59,low
39.89,medium,34.43,57.97,10.11,63032.41,16.9,48.89,0,19.28,32.48,medium
61.66,high,83.81,26.2,41.82,392437.98,19.3,66.38,0,49.7,66.86,high
51.28,medium,54.49,28.19,38.81,159194.48,22.6,65.94,0,35.1,48.88,medium
54.06,medium,54.96,41.19,21.66,241752.77,32.5,52.76,1,32.89,52.78,medium
8.32,medium,40.61,58.13,12.96,195083.62,11.7,23.63,0,23.06,28.21,low
57.08,high,62.24,51.7,29.91,168492.27,27.5,77.78,0,49.26,56.52,medium
6.05,low,7.76,98.12,6.87,16171.66,0.2,11.03,0,4.17,4.58,low
86.86,high,94.6,14.41,58.22,438315.26,41.3,97.84,1,59.31,87.94,critical
49.11,medium,71.56,41.38,48.12,350208.73,19.5,84.73,1,42.33,60.27,high
112.96,high,87.47,2.08,57.59,427136.86,43.9,89.36,1,50.86,91.98,critical
95.25,high,84.22,19.92,60.27,466426.14,44.9,86.01,1,50.65,87.71,critical
-1.69,low,16.51,98.29,7.33,29501.48,3.6,9.93,1,5.58,9.48,low
33.0,medium,23.15,63.42,23.91,144608.15,21.7,41.37,0,28.8,33.69,medium
96.06,medium,89.64,10.36,59.06,453462.27,43.8,91.05,1,51.61,83.29,critical
5.21,high,49.07,55.76,16.23,29956.65,21.6,25.77,1,28.75,37.6,medium
103.76,medium,86.48,19.41,64.93,407276.97,40.5,93.99,1,55.32,82.86,critical
6.89,high,19.56,92.85,2.79,43959.79,3.6,8.21,0,9.02,19.58,low
98.98,high,97.34,5.22,56.41,403546.99,39.6,88.27,1,58.88,89.28,critical
53.85,high,62.75,35.31,36.17,331359.65,25.1,62.44,0,45.37,60.32,high
117.98,high,88.57,5.88,65.38,380250.78,40.4,96.22,1,54.4,92.57,critical
-2.93,low,12.96,92.32,2.7,8415.31,5.3,15.91,1,0.27,9.07,low
20.64,low,25.71,57.07,14.37,98392.38,20.9,31.97,1,28.01,27.26,low
