onTimeDeliveryRate,financialScore,defectRate,disputeFrequency,geopoliticalRiskFlag,totalShipments,averageDelayDays,daysSinceLastShip,activeShipmentCount,categoryRisk,riskScore,riskTier
45.91,27.22,17.05,11.09,1,51,10.18,69.6,20,3,63.08,high
71.98,64.11,5.56,9.01,0,139,5.05,85.4,10,2,30.26,medium
92.48,88.91,1.12,0.37,0,137,2.44,22.1,2,1,9.98,low
79.95,57.98,14.55,7.59,1,125,6.79,63.3,10,2,41.84,medium
66.25,74.86,5.51,6.63,0,94,7.87,32.5,9,3,30.75,medium
37.39,32.35,21.06,9.51,1,36,13.21,121.2,34,2,68.06,high
82.94,98.67,3.25,1.83,1,235,0.6,16.4,1,0,16.09,low
34.08,28.55,15.63,12.28,0,32,9.71,83.8,27,0,54.21,medium
42.28,39.39,21.04,11.17,1,41,8.13,74.7,21,3,62.68,high
81.63,76.06,4.22,1.43,0,120,1.92,25.0,9,0,15.86,low
59.9,49.2,12.56,6.34,1,95,4.68,49.5,9,3,46.35,medium
28.16,30.97,20.05,11.74,1,57,10.22,61.2,32,3,68.75,high
53.11,31.8,14.76,12.23,0,38,10.63,83.7,37,3,54.28,medium
30.24,45.24,16.22,8.82,1,19,8.99,136.8,27,2,62.19,high
76.84,66.54,12.97,5.94,0,86,4.95,32.9,15,2,30.56,medium
44.21,33.86,12.16,9.33,0,56,11.24,138.2,22,0,49.34,medium
89.85,80.07,4.13,0.64,0,254,0.15,24.3,3,1,10.89,low
12.28,8.41,23.06,18.68,1,1,16.63,154.6,49,2,87.88,critical
30.04,27.6,15.67,12.11,0,40,10.97,132.3,33,3,61.42,high
10.67,9.92,25.46,16.67,1,1,17.7,152.1,49,3,89.99,critical
1.89,13.15,23.63,16.55,0,5,17.84,165.7,42,3,82.2,critical
82.3,95.06,4.06,2.8,1,139,1.22,5.6,2,1,20.57,low
76.24,69.93,10.09,9.49,0,84,7.56,25.3,8,2,31.38,medium
9.26,2.4,25.6,18.73,1,4,19.46,168.0,49,3,94.12,critical
61.48,54.36,10.56,9.66,0,105,7.69,68.2,11,3,40.06,medium
1.7,8.05,22.65,17.47,1,5,17.46,164.3,49,2,90.13,critical
87.68,78.38,3.21,1.46,0,271,0.52,8.0,5,0,10.11,low
8.35,2.81,23.9,16.01,1,4,19.67,158.2,44,1,88.93,critical
47.85,27.33,13.21,13.31,0,17,12.01,139.6,27,3,57.61,medium
9.84,3.27,29.29,17.22,1,3,19.05,174.6,48,3,94.64,critical
94.29,80.72,1.4,1.14,0,163,0.17,1.5,0,0,7.91,low
68.35,54.03,7.61,8.58,0,97,4.92,84.5,23,3,36.45,medium
55.78,73.74,11.14,6.41,0,72,6.18,80.6,11,2,34.94,medium
78.27,53.15,6.26,5.26,0,65,3.1,79.9,14,2,29.32,low
4.6,14.41,27.75,17.88,1,6,18.93,162.4,40,3,92.37,critical
78.52,60.99,6.62,5.39,1,86,3.89,44.4,15,0,32.91,medium
48.34,22.59,19.71,10.8,1,25,12.48,75.1,26,0,62.8,high
87.7,91.85,4.83,2.06,0,235,2.03,2.4,7,1,11.49,low
62.75,73.76,10.71,8.2,0,95,3.63,77.5,18,0,30.09,medium
43.33,21.45,18.02,8.39,0,49,13.14,76.5,32,2,57.37,medium
43.67,41.95,15.95,8.61,1,32,9.66,67.6,38,2,59.17,medium
96.17,95.85,1.9,2.1,0,210,1.48,8.8,8,1,7.79,low
1.26,12.4,26.06,19.58,1,7,16.62,158.0,44,3,92.35,critical
80.36,79.84,4.0,0.16,0,235,0.39,15.2,0,3,15.33,low
